delivery_partner|payout_period|payout_on|total_orders|total_payout|store_name|location|year|file_name
swiggy|09 January - 15 January|19 January 2022|9|1744.26|Sprinkles & sparkles|Thergaon|2022|Annexure_326324_21012022_1642731301404.xlsx
swiggy|16 January - 22 January|25 January 2022|5|1354.5|Sprinkles & sparkles|Thergaon|2022|Annexure_326324_28012022_1643350189151.xlsx
swiggy|23 January - 31 January|03 February 2022|7|2085.89|CREATIVE DESIGNER  CAKES|Ravet|2022|Annexure_331485_05022022_1644034316363.xlsx
swiggy|26 December - 31 December|04 January 2022|24|6763.33|CREATIVE DESIGNER  CAKES|Ravet|2022|Annexure_331485_06012022_1641470875797.xlsx
swiggy|02 January - 08 January|12 January 2022|5|66.32|CREATIVE DESIGNER  CAKES|Ravet|2022|Annexure_331485_13012022_1642067018460.xlsx
swiggy|09 January - 15 January|18 January 2022|15|4352.13|CREATIVE DESIGNER  CAKES|Ravet|2022|Annexure_331485_21012022_1642705938985.xlsx
swiggy|16 January - 22 January|25 January 2022|16|4912.36|CREATIVE DESIGNER  CAKES|Ravet|2022|Annexure_331485_28012022_1643332864749.xlsx
swiggy|26 December - 31 December|04 January 2022|8|2383.3|CREAMERS|Ravet|2022|Annexure_333265_06012022_1641470950714.xlsx
swiggy|22 May - 28 May|31 May 2022|132|37848.5|Sprinkles & sparkles|Ravet|2022|invoiceAnnexure_250980_01062022_1654081592527.xlsx
swiggy|23 October - 29 October|01 November 2022|108|28159.0|Sprinkles & Sparkles|Ravet|2022|invoiceAnnexure_250980_02112022_1667392074814.xlsx
swiggy|20 February - 28 February|02 March 2022|103|22180.02|Sprinkles & sparkles|Ravet|2022|invoiceAnnexure_250980_03032022_1646323186514.xlsx
swiggy|24 April - 30 April|03 May 2022|107|31208.5|Sprinkles & sparkles|Ravet|2022|invoiceAnnexure_250980_04052022_1651679971949.xlsx
swiggy|29 May - 31 May|03 June 2022|68|19241.34|Sprinkles & sparkles|Ravet|2022|invoiceAnnexure_250980_04062022_1654338951614.xlsx
swiggy|26 June - 30 June|03 July 2022|119|35444.97|Sprinkles & Sparkles|Ravet|2022|invoiceAnnexure_250980_04072022_1656956628703.xlsx
swiggy|24 July - 31 July|03 August 2022|202|61526.64|Sprinkles & Sparkles|Ravet|2022|invoiceAnnexure_250980_04082022_1659621383003.xlsx
swiggy|25 September - 30 September|03 October 2022|111|35697.31|Sprinkles & Sparkles|Ravet|2022|invoiceAnnexure_250980_04102022_1664897533179.xlsx
swiggy|30 October - 31 October|03 November 2022|33|9442.42|Sprinkles & Sparkles|Ravet|2022|invoiceAnnexure_250980_04112022_1667565010147.xlsx
swiggy|27 November - 30 November|04 December 2022|85|19110.49|Sprinkles & Sparkles|Ravet|2022|invoiceAnnexure_250980_05122022_1670249698104.xlsx
swiggy|28 August - 31 August|03 September 2022|102|28367.37|Sprinkles & Sparkles|Ravet|2022|invoiceAnnexure_250980_06092022_1662467344369.xlsx
swiggy|27 March - 31 March|05 April 2022|44|12061.02|Sprinkles & sparkles|Ravet|2022|invoiceAnnexure_250980_07042022_1649284147546.xlsx
swiggy|01 June - 04 June|07 June 2022|106|30460.09|Sprinkles & sparkles|Ravet|2022|invoiceAnnexure_250980_08062022_1654683319065.xlsx
swiggy|01 December - 03 December|07 December 2022|70|19139.85|Sprinkles & Sparkles|Ravet|2022|invoiceAnnexure_250980_08122022_1670509390348.xlsx
swiggy|01 March - 05 March|08 March 2022|35|8306.09|Sprinkles & sparkles|Ravet|2022|invoiceAnnexure_250980_09032022_1646850282294.xlsx
swiggy|01 November - 05 November|08 November 2022|105|24821.92|Sprinkles & Sparkles|Ravet|2022|invoiceAnnexure_250980_09112022_1667994125778.xlsx
swiggy|01 February - 05 February|09 February 2022|37|8147.39|Sprinkles & sparkles|Ravet|2022|invoiceAnnexure_250980_11022022_1644518194841.xlsx
swiggy|01 May - 07 May|10 May 2022|124|36303.24|Sprinkles & sparkles|Ravet|2022|invoiceAnnexure_250980_11052022_1652260707464.xlsx
swiggy|01 August - 06 August|09 August 2022|157|45986.0|Sprinkles & Sparkles|Ravet|2022|invoiceAnnexure_250980_11082022_1660161887889.xlsx
swiggy|01 October - 08 October|11 October 2022|150|40733.12|Sprinkles & Sparkles|Ravet|2022|invoiceAnnexure_250980_12102022_1665596375354.xlsx
swiggy|01 April - 09 April|12 April 2022|112|30942.26|Sprinkles & sparkles|Ravet|2022|invoiceAnnexure_250980_13042022_1649828287139.xlsx
swiggy|01 July - 09 July|12 July 2022|236|69453.41|Sprinkles & Sparkles|Ravet|2022|invoiceAnnexure_250980_13072022_1657713529775.xlsx
swiggy|01 September - 10 September|13 September 2022|245|67333.11|Sprinkles & Sparkles|Ravet|2022|invoiceAnnexure_250980_14092022_1663158420476.xlsx
swiggy|04 December - 10 December|13 December 2022|112|27496.95|Sprinkles & Sparkles|Ravet|2022|invoiceAnnexure_250980_14122022_1671014268686.xlsx
swiggy|05 June - 11 June|14 June 2022|142|43087.4|Sprinkles & sparkles|Ravet|2022|invoiceAnnexure_250980_15062022_1655294677285.xlsx
swiggy|06 February - 12 February|15 February 2022|71|18825.6|Sprinkles & sparkles|Ravet|2022|invoiceAnnexure_250980_16022022_1645028870268.xlsx
swiggy|06 March - 12 March|15 March 2022|95|26683.74|Sprinkles & sparkles|Ravet|2022|invoiceAnnexure_250980_16032022_1647411663488.xlsx
swiggy|06 November - 12 November|15 November 2022|125|33363.89|Sprinkles & Sparkles|Ravet|2022|invoiceAnnexure_250980_16112022_1668607449250.xlsx
swiggy|07 August - 13 August|16 August 2022|211|62321.6|Sprinkles & Sparkles|Ravet|2022|invoiceAnnexure_250980_17082022_1660731084737.xlsx
swiggy|08 May - 14 May|17 May 2022|181|49186.09|Sprinkles & sparkles|Ravet|2022|invoiceAnnexure_250980_18052022_1652851865129.xlsx
swiggy|09 October - 15 October|18 October 2022|178|50756.68|Sprinkles & Sparkles|Ravet|2022|invoiceAnnexure_250980_19102022_1666191577011.xlsx
swiggy|10 April - 16 April|19 April 2022|77|19476.01|Sprinkles & sparkles|Ravet|2022|invoiceAnnexure_250980_20042022_1650443471296.xlsx
swiggy|10 July - 16 July|19 July 2022|210|65630.82|Sprinkles & Sparkles|Ravet|2022|invoiceAnnexure_250980_20072022_1658316164657.xlsx
swiggy|11 December - 17 December|20 December 2022|121|34129.16|Sprinkles & Sparkles|Ravet|2022|invoiceAnnexure_250980_21122022_1671639253002.xlsx
swiggy|12 February - 18 February|21 February 2022|147|36288.33|Sprinkles & Sparkles|Ravet|2022|invoiceAnnexure_250980_22022023_1677066954378.xlsx
swiggy|12 June - 18 June|21 June 2022|134|42217.0|Sprinkles & Sparkles|Ravet|2022|invoiceAnnexure_250980_22062022_1655919012220.xlsx
swiggy|11 September - 17 September|20 September 2022|172|49950.74|Sprinkles & Sparkles|Ravet|2022|invoiceAnnexure_250980_22092022_1663786799659.xlsx
swiggy|13 February - 19 February|22 February 2022|119|27305.01|Sprinkles & sparkles|Ravet|2022|invoiceAnnexure_250980_23022022_1645639825907.xlsx
swiggy|13 November - 19 November|22 November 2022|130|34174.13|Sprinkles & Sparkles|Ravet|2022|invoiceAnnexure_250980_23112022_1669222725887.xlsx
swiggy|13 March - 19 March|22 March 2022|44|12716.01|Sprinkles & sparkles|Ravet|2022|invoiceAnnexure_250980_24032022_1648077457411.xlsx
swiggy|14 August - 20 August|23 August 2022|226|61103.92|Sprinkles & Sparkles|Ravet|2022|invoiceAnnexure_250980_24082022_1661356403439.xlsx
swiggy|15 May - 21 May|24 May 2022|134|38774.39|Sprinkles & sparkles|Ravet|2022|invoiceAnnexure_250980_25052022_1653455656552.xlsx
swiggy|17 April - 23 April|26 April 2022|91|24466.85|Sprinkles & sparkles|Ravet|2022|invoiceAnnexure_250980_27042022_1651053654036.xlsx
swiggy|17 July - 23 July|26 July 2022|154|45520.63|Sprinkles & Sparkles|Ravet|2022|invoiceAnnexure_250980_27072022_1658920260749.xlsx
swiggy|16 October - 22 October|26 October 2022|136|35887.79|Sprinkles & Sparkles|Ravet|2022|invoiceAnnexure_250980_27102022_1666875710164.xlsx
swiggy|18 September - 24 September|27 September 2022|153|45252.5|Sprinkles & Sparkles|Ravet|2022|invoiceAnnexure_250980_28092022_1664383878416.xlsx
swiggy|18 December - 24 December|27 December 2022|110|29150.41|Sprinkles & Sparkles|Ravet|2022|invoiceAnnexure_250980_28122022_1672233630779.xlsx
swiggy|19 June - 25 June|28 June 2022|237|71161.47|Sprinkles & Sparkles|Ravet|2022|invoiceAnnexure_250980_29062022_1656519970399.xlsx
swiggy|20 March - 26 March|29 March 2022|51|13315.26|Sprinkles & sparkles|Ravet|2022|invoiceAnnexure_250980_30032022_1648629649432.xlsx
swiggy|20 November - 26 November|29 November 2022|158|39152.16|Sprinkles & Sparkles|Ravet|2022|invoiceAnnexure_250980_30112022_1669822725735.xlsx
swiggy|21 August - 27 August|30 August 2022|183|53583.75|Sprinkles & Sparkles|Ravet|2022|invoiceAnnexure_250980_31082022_1661936544277.xlsx
swiggy|20 February - 28 February|02 March 2022|15|4676.54|Sprinkles & sparkles|Thergaon|2022|invoiceAnnexure_326324_04032022_1646333666437.xlsx
swiggy|27 November - 30 November|03 December 2022|3|347.23|Sprinkles & sparkles|Thergaon|2022|invoiceAnnexure_326324_05122022_1670247150174.xlsx
swiggy|27 March - 31 March|05 April 2022|1|-301.55|Sprinkles & sparkles|Thergaon|2022|invoiceAnnexure_326324_06042022_1649195293961.xlsx
swiggy|01 December - 03 December|07 December 2022|4|1064.08|Sprinkles & sparkles|Thergaon|2022|invoiceAnnexure_326324_08122022_1670496311311.xlsx
swiggy|01 March - 05 March|08 March 2022|19|4395.39|Sprinkles & sparkles|Thergaon|2022|invoiceAnnexure_326324_09032022_1646849319333.xlsx
swiggy|01 April - 09 April|12 April 2022|3|343.58|Sprinkles & sparkles|Thergaon|2022|invoiceAnnexure_326324_13042022_1649822631512.xlsx
swiggy|04 December - 10 December|13 December 2022|28|8750.72|Sprinkles & sparkles|Thergaon|2022|invoiceAnnexure_326324_14122022_1671027001543.xlsx
swiggy|06 March - 12 March|15 March 2022|18|4340.4|Sprinkles & sparkles|Thergaon|2022|invoiceAnnexure_326324_16032022_1647421338059.xlsx
swiggy|06 November - 12 November|15 November 2022|7|1616.59|Sprinkles & sparkles|Thergaon|2022|invoiceAnnexure_326324_16112022_1668610957084.xlsx
swiggy|06 February - 12 February|15 February 2022|12|3778.83|Sprinkles & sparkles|Thergaon|2022|invoiceAnnexure_326324_17022022_1645058940981.xlsx
swiggy|11 December - 17 December|20 December 2022|24|5678.72|Sprinkles & sparkles|Thergaon|2022|invoiceAnnexure_326324_21122022_1671616132705.xlsx
swiggy|12 February - 18 February|21 February 2022|39|11871.23|Sprinkles & sparkles|Thergaon|2022|invoiceAnnexure_326324_22022023_1677051671469.xlsx
swiggy|13 February - 19 February|22 February 2022|16|4705.99|Sprinkles & sparkles|Thergaon|2022|invoiceAnnexure_326324_23022022_1645634422946.xlsx
swiggy|13 November - 19 November|22 November 2022|14|3853.68|Sprinkles & sparkles|Thergaon|2022|invoiceAnnexure_326324_23112022_1669206917406.xlsx
swiggy|13 March - 19 March|22 March 2022|6|1155.79|Sprinkles & sparkles|Thergaon|2022|invoiceAnnexure_326324_24032022_1648082619076.xlsx
swiggy|18 December - 24 December|27 December 2022|19|5198.86|Sprinkles & sparkles|Thergaon|2022|invoiceAnnexure_326324_28122022_1672232025444.xlsx
swiggy|20 March - 26 March|29 March 2022|7|2076.52|Sprinkles & sparkles|Thergaon|2022|invoiceAnnexure_326324_30032022_1648646357335.xlsx
swiggy|20 November - 26 November|29 November 2022|18|5516.76|Sprinkles & sparkles|Thergaon|2022|invoiceAnnexure_326324_30112022_1669817136383.xlsx
swiggy|22 May - 28 May|31 May 2022|9|2712.06|CREATIVE DESIGNER  CAKES|Ravet|2022|invoiceAnnexure_331485_01062022_1654081932226.xlsx
swiggy|21 August - 27 August|30 August 2022|29|8210.69|CREATIVE DESIGNER  CAKES|Ravet|2022|invoiceAnnexure_331485_02092022_1662074369435.xlsx
swiggy|23 October - 29 October|01 November 2022|20|5093.67|CREATIVE DESIGNER  CAKES|Ravet|2022|invoiceAnnexure_331485_02112022_1667398714626.xlsx
swiggy|20 February - 28 February|02 March 2022|5|1306.8|CREATIVE DESIGNER  CAKES|Ravet|2022|invoiceAnnexure_331485_03032022_1646326612655.xlsx
swiggy|29 May - 31 May|03 June 2022|3|966.96|CREATIVE DESIGNER  CAKES|Ravet|2022|invoiceAnnexure_331485_03062022_1654259108412.xlsx
swiggy|24 April - 30 April|03 May 2022|8|2604.06|CREATIVE DESIGNER  CAKES|Ravet|2022|invoiceAnnexure_331485_04052022_1651678550411.xlsx
swiggy|25 September - 30 September|03 October 2022|24|9396.8|CREATIVE DESIGNER  CAKES|Ravet|2022|invoiceAnnexure_331485_04102022_1664899831747.xlsx
swiggy|30 October - 31 October|03 November 2022|9|2874.61|CREATIVE DESIGNER  CAKES|Ravet|2022|invoiceAnnexure_331485_04112022_1667563147924.xlsx
swiggy|26 June - 30 June|03 July 2022|12|3887.84|CREATIVE DESIGNER  CAKES|Ravet|2022|invoiceAnnexure_331485_05072022_1656996628002.xlsx
swiggy|24 July - 31 July|03 August 2022|50|12180.42|CREATIVE DESIGNER  CAKES|Ravet|2022|invoiceAnnexure_331485_05082022_1659646585952.xlsx
swiggy|27 November - 30 November|04 December 2022|33|6711.22|CREATIVE DESIGNER  CAKES|Ravet|2022|invoiceAnnexure_331485_05122022_1670253972244.xlsx
swiggy|28 August - 31 August|03 September 2022|16|4545.92|CREATIVE DESIGNER  CAKES|Ravet|2022|invoiceAnnexure_331485_06092022_1662451550567.xlsx
swiggy|27 March - 31 March|05 April 2022|5|1460.16|CREATIVE DESIGNER  CAKES|Ravet|2022|invoiceAnnexure_331485_07042022_1649281429272.xlsx
swiggy|01 June - 04 June|07 June 2022|5|1320.52|CREATIVE DESIGNER  CAKES|Ravet|2022|invoiceAnnexure_331485_08062022_1654679683939.xlsx
swiggy|01 December - 03 December|07 December 2022|28|6605.75|CREATIVE DESIGNER  CAKES|Ravet|2022|invoiceAnnexure_331485_08122022_1670510053668.xlsx
swiggy|01 March - 05 March|08 March 2022|8|1093.84|CREATIVE DESIGNER  CAKES|Ravet|2022|invoiceAnnexure_331485_09032022_1646847795759.xlsx
swiggy|01 November - 05 November|08 November 2022|18|4278.15|CREATIVE DESIGNER  CAKES|Ravet|2022|invoiceAnnexure_331485_09112022_1667996842232.xlsx
swiggy|01 February - 05 February|09 February 2022|7|2855.68|CREATIVE DESIGNER  CAKES|Ravet|2022|invoiceAnnexure_331485_10022022_1644507433749.xlsx
swiggy|01 May - 07 May|10 May 2022|13|4185.08|CREATIVE DESIGNER  CAKES|Ravet|2022|invoiceAnnexure_331485_11052022_1652263118135.xlsx
swiggy|01 August - 06 August|09 August 2022|40|13061.61|CREATIVE DESIGNER  CAKES|Ravet|2022|invoiceAnnexure_331485_11082022_1660211224424.xlsx
swiggy|01 October - 08 October|11 October 2022|13|4023.01|CREATIVE DESIGNER  CAKES|Ravet|2022|invoiceAnnexure_331485_12102022_1665590218069.xlsx
swiggy|01 April - 09 April|12 April 2022|11|3090.85|CREATIVE DESIGNER  CAKES|Ravet|2022|invoiceAnnexure_331485_13042022_1649827438072.xlsx
swiggy|01 July - 09 July|12 July 2022|25|4345.94|CREATIVE DESIGNER  CAKES|Ravet|2022|invoiceAnnexure_331485_13072022_1657732012195.xlsx
swiggy|01 September - 10 September|13 September 2022|54|15834.86|CREATIVE DESIGNER  CAKES|Ravet|2022|invoiceAnnexure_331485_14092022_1663162512279.xlsx
swiggy|04 December - 10 December|13 December 2022|70|18083.43|CREATIVE DESIGNER  CAKES|Ravet|2022|invoiceAnnexure_331485_14122022_1671015607257.xlsx
swiggy|05 June - 11 June|14 June 2022|8|2480.52|CREATIVE DESIGNER  CAKES|Ravet|2022|invoiceAnnexure_331485_15062022_1655288932445.xlsx
swiggy|06 March - 12 March|15 March 2022|14|4118.97|CREATIVE DESIGNER  CAKES|Ravet|2022|invoiceAnnexure_331485_16032022_1647434011488.xlsx
swiggy|06 November - 12 November|15 November 2022|27|6757.1|CREATIVE DESIGNER  CAKES|Ravet|2022|invoiceAnnexure_331485_16112022_1668599179590.xlsx
swiggy|06 February - 12 February|15 February 2022|17|5003.73|CREATIVE DESIGNER  CAKES|Ravet|2022|invoiceAnnexure_331485_17022022_1645048941569.xlsx
swiggy|07 August - 13 August|16 August 2022|43|13302.42|CREATIVE DESIGNER  CAKES|Ravet|2022|invoiceAnnexure_331485_17082022_1660730977270.xlsx
swiggy|08 May - 14 May|17 May 2022|12|3105.44|CREATIVE DESIGNER  CAKES|Ravet|2022|invoiceAnnexure_331485_18052022_1652852642365.xlsx
swiggy|09 October - 15 October|18 October 2022|20|6061.59|CREATIVE DESIGNER  CAKES|Ravet|2022|invoiceAnnexure_331485_19102022_1666178692404.xlsx
swiggy|10 April - 16 April|19 April 2022|14|5302.95|CREATIVE DESIGNER  CAKES|Ravet|2022|invoiceAnnexure_331485_20042022_1650443314595.xlsx
swiggy|10 July - 16 July|19 July 2022|46|10736.59|CREATIVE DESIGNER  CAKES|Ravet|2022|invoiceAnnexure_331485_20072022_1658324911845.xlsx
swiggy|11 September - 17 September|20 September 2022|39|11883.15|CREATIVE DESIGNER  CAKES|Ravet|2022|invoiceAnnexure_331485_21092022_1663784925881.xlsx
swiggy|11 December - 17 December|20 December 2022|69|14082.32|CREATIVE DESIGNER  CAKES|Ravet|2022|invoiceAnnexure_331485_21122022_1671639169389.xlsx
swiggy|12 February - 18 February|21 February 2022|49|10735.46|CREATIVE DESIGNER  CAKES|Ravet|2022|invoiceAnnexure_331485_22022023_1677065095803.xlsx
swiggy|12 June - 18 June|21 June 2022|7|1734.82|CREATIVE DESIGNER  CAKES|Ravet|2022|invoiceAnnexure_331485_22062022_1655917208118.xlsx
swiggy|13 February - 19 February|22 February 2022|10|1904.72|CREATIVE DESIGNER  CAKES|Ravet|2022|invoiceAnnexure_331485_23022022_1645638535430.xlsx
swiggy|13 November - 19 November|22 November 2022|63|15024.8|CREATIVE DESIGNER  CAKES|Ravet|2022|invoiceAnnexure_331485_23112022_1669220551603.xlsx
swiggy|13 March - 19 March|22 March 2022|7|2319.62|CREATIVE DESIGNER  CAKES|Ravet|2022|invoiceAnnexure_331485_24032022_1648079800464.xlsx
swiggy|15 May - 21 May|24 May 2022|7|2004.48|CREATIVE DESIGNER  CAKES|Ravet|2022|invoiceAnnexure_331485_25052022_1653455513400.xlsx
swiggy|14 August - 20 August|23 August 2022|43|13393.03|CREATIVE DESIGNER  CAKES|Ravet|2022|invoiceAnnexure_331485_25082022_1661383870799.xlsx
swiggy|17 April - 23 April|26 April 2022|13|3360.19|CREATIVE DESIGNER  CAKES|Ravet|2022|invoiceAnnexure_331485_27042022_1651052540897.xlsx
swiggy|16 October - 22 October|26 October 2022|27|8200.75|CREATIVE DESIGNER  CAKES|Ravet|2022|invoiceAnnexure_331485_27102022_1666885702791.xlsx
swiggy|17 July - 23 July|26 July 2022|43|10516.27|CREATIVE DESIGNER  CAKES|Ravet|2022|invoiceAnnexure_331485_28072022_1658959749135.xlsx
swiggy|18 September - 24 September|27 September 2022|30|9575.95|CREATIVE DESIGNER  CAKES|Ravet|2022|invoiceAnnexure_331485_28092022_1664386378539.xlsx
swiggy|18 December - 24 December|27 December 2022|51|13532.66|CREATIVE DESIGNER  CAKES|Ravet|2022|invoiceAnnexure_331485_28122022_1672233110249.xlsx
swiggy|19 June - 25 June|28 June 2022|11|2966.44|CREATIVE DESIGNER  CAKES|Ravet|2022|invoiceAnnexure_331485_29062022_1656519772499.xlsx
swiggy|20 November - 26 November|29 November 2022|80|19794.38|CREATIVE DESIGNER  CAKES|Ravet|2022|invoiceAnnexure_331485_30112022_1669822957650.xlsx
swiggy|20 March - 26 March|29 March 2022|8|3499.52|CREATIVE DESIGNER  CAKES|Ravet|2022|invoiceAnnexure_331485_31032022_1648678311672.xlsx
swiggy|22 May - 28 May|31 May 2022|2|635.84|CREAMERS|Ravet|2022|invoiceAnnexure_333265_01062022_1654081972354.xlsx
swiggy|21 August - 27 August|30 August 2022|6|2056.43|CREAMERS|Ravet|2022|invoiceAnnexure_333265_02092022_1662069737217.xlsx
swiggy|23 October - 29 October|01 November 2022|4|979.9|CREAMERS|Ravet|2022|invoiceAnnexure_333265_02112022_1667381982974.xlsx
swiggy|29 May - 31 May|03 June 2022|1|418.35|CREAMERS|Ravet|2022|invoiceAnnexure_333265_03062022_1654257803755.xlsx
swiggy|24 April - 30 April|03 May 2022|3|967.62|CREAMERS|Ravet|2022|invoiceAnnexure_333265_04052022_1651678477702.xlsx
swiggy|25 September - 30 September|03 October 2022|4|1361.72|CREAMERS|Ravet|2022|invoiceAnnexure_333265_04102022_1664897363853.xlsx
swiggy|26 June - 30 June|03 July 2022|1|265.97|CREAMERS|Ravet|2022|invoiceAnnexure_333265_05072022_1657000545958.xlsx
swiggy|24 July - 31 July|03 August 2022|5|1635.99|CREAMERS|Ravet|2022|invoiceAnnexure_333265_05082022_1659646799333.xlsx
swiggy|27 November - 30 November|04 December 2022|3|668.0|CREAMERS|Ravet|2022|invoiceAnnexure_333265_05122022_1670252788829.xlsx
swiggy|28 August - 31 August|03 September 2022|4|1243.98|CREAMERS|Ravet|2022|invoiceAnnexure_333265_06092022_1662457761157.xlsx
swiggy|27 March - 31 March|05 April 2022|2|694.71|CREAMERS|Ravet|2022|invoiceAnnexure_333265_07042022_1649283991281.xlsx
swiggy|01 June - 04 June|07 June 2022|6|2622.07|CREAMERS|Ravet|2022|invoiceAnnexure_333265_08062022_1654678726364.xlsx
swiggy|01 December - 03 December|07 December 2022|1|329.23|CREAMERS|Ravet|2022|invoiceAnnexure_333265_08122022_1670495980956.xlsx
swiggy|01 November - 05 November|08 November 2022|4|1470.03|CREAMERS|Ravet|2022|invoiceAnnexure_333265_09112022_1667988206539.xlsx
swiggy|01 March - 05 March|08 March 2022|2|587.34|CREAMERS|Ravet|2022|invoiceAnnexure_333265_10032022_1646852651125.xlsx
swiggy|01 May - 07 May|10 May 2022|3|1012.63|CREAMERS|Ravet|2022|invoiceAnnexure_333265_11052022_1652263425336.xlsx
swiggy|01 August - 06 August|09 August 2022|9|2719.29|CREAMERS|Ravet|2022|invoiceAnnexure_333265_11082022_1660212772513.xlsx
swiggy|01 October - 08 October|11 October 2022|8|2342.48|CREAMERS|Ravet|2022|invoiceAnnexure_333265_12102022_1665588965319.xlsx
swiggy|01 April - 09 April|12 April 2022|1|203.63|CREAMERS|Ravet|2022|invoiceAnnexure_333265_13042022_1649832026080.xlsx
swiggy|01 July - 09 July|12 July 2022|2|642.76|CREAMERS|Ravet|2022|invoiceAnnexure_333265_13072022_1657731430464.xlsx
swiggy|01 September - 10 September|13 September 2022|5|1648.49|CREAMERS|Ravet|2022|invoiceAnnexure_333265_14092022_1663162203965.xlsx
swiggy|04 December - 10 December|13 December 2022|3|824.45|CREAMERS|Ravet|2022|invoiceAnnexure_333265_14122022_1671027331189.xlsx
swiggy|05 June - 11 June|14 June 2022|2|615.06|CREAMERS|Ravet|2022|invoiceAnnexure_333265_15062022_1655299458996.xlsx
swiggy|06 March - 12 March|15 March 2022|4|1585.48|CREAMERS|Ravet|2022|invoiceAnnexure_333265_16032022_1647408443820.xlsx
swiggy|06 November - 12 November|15 November 2022|2|665.27|CREAMERS|Ravet|2022|invoiceAnnexure_333265_16112022_1668599120810.xlsx
